full name,code,Sector_main,sector,EPS,P/E,DY,DPS,RSI_status,Stochastic_status,Market_Cap (M),risk_klse,ta,tl,te,debt_ratio,debt-equity_ratio,risk_pdf,risk
AYS VENTURES BERHAD,5021, Main Market,Industrial Products & Services ,4.88,7,0.0286,1,Neutral,Neutral,133.1,medium,,,,,,,medium
B.I.G. INDUSTRIES BERHAD,7005, Main Market,Industrial Products & Services ,1.4,32,0,0,Neutral,Neutral,21.6,medium,,,,,,,medium
BAHVEST RESOURCES BERHAD,98, Ace Market,Consumer Products & Services ,10.63,6,0,0,Overbought,Overbought,406.1,medium,,,,,,,medium
BARAKAH OFFSHORE PETROLEUM BERHAD,7251, Main Market,Energy ,-7.37,-1,0,0,Neutral,Neutral,91.9,high,,,,,,,high
BCM ALLIANCE BERHAD,187, Ace Market,Industrial Products & Services ,1.98,10,0,0,Neutral,Oversold,82.1,medium,33921864,523664,33398200,0.015437359,0.015679408,low,medium
BERJAYA ASSETS BERHAD,3239, Main Market,Property ,-0.59,-53,0,0,Neutral,Neutral,793,high,,,,,,,high
BERJAYA CORPORATION BERHAD,3395, Main Market,Industrial Products & Services ,-3.72,-7,0,0,Neutral,Neutral,1408,high,,,,,,,high
BERJAYA FOOD BERHAD,5196, Main Market,Consumer Products & Services ,6.05,27,0.0248,4,Neutral,Neutral,614.8,low,,,,,,,low
BERJAYA FOOD BERHAD,5196, Main Market,Consumer Products & Services ,6.05,27,0.0248,4,Neutral,Neutral,614.8,low,,,,,,,low
BERJAYA FOOD BERHAD,5196, Main Market,Consumer Products & Services ,6.05,26,0.0252,4,Neutral,Neutral,607.2,low,,,,,,,low
BERJAYA FOOD BERHAD,5196, Main Market,Consumer Products & Services ,6.05,26,0.0252,4,Neutral,Neutral,607.2,low,,,,,,,low
BERJAYA LAND BERHAD,4219, Main Market,Consumer Products & Services ,-1.82,-14,0,0,Neutral,Oversold,1300.1,high,,,,,,,high
BERJAYA LAND BERHAD,4219, Main Market,Consumer Products & Services ,-1.82,-14,0,0,Neutral,Oversold,1300.1,high,,,,,,,high
BERJAYA LAND BERHAD,4219, Main Market,Consumer Products & Services ,-1.82,-14,0,0,Neutral,Oversold,1250.1,high,,,,,,,high
BERJAYA LAND BERHAD,4219, Main Market,Consumer Products & Services ,-1.82,-14,0,0,Neutral,Oversold,1250.1,high,,,,,,,high
BERJAYA MEDIA BERHAD,6025, Main Market,Telecommunications & Media ,-8.21,-2,0,0,Neutral,Neutral,47,high,,,,,,,high
BERJAYA MEDIA BERHAD,6025, Main Market,Telecommunications & Media ,-8.21,-2,0,0,Neutral,Neutral,47,high,,,,,,,high
BERJAYA MEDIA BERHAD,6025, Main Market,Telecommunications & Media ,-8.21,-2,0,0,Neutral,Oversold,35.3,high,,,,,,,high
BERJAYA MEDIA BERHAD,6025, Main Market,Telecommunications & Media ,-8.21,-2,0,0,Neutral,Oversold,35.3,high,,,,,,,high
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,17.87,13,0.0665,15.5,Neutral,Neutral,3147.9,low,,,,,,,low
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,17.87,13,0.0665,15.5,Neutral,Neutral,3147.9,low,,,,,,,low
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,17.87,13,0.0665,15.5,Neutral,Neutral,3147.9,low,,,,,,,low
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,17.87,13,0.0665,15.5,Neutral,Neutral,3147.9,low,,,,,,,low
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,17.87,13,0.0668,15.5,Neutral,Neutral,3134.4,low,,,,,,,low
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,17.87,13,0.0668,15.5,Neutral,Neutral,3134.4,low,,,,,,,low
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,17.87,13,0.0668,15.5,Neutral,Neutral,3134.4,low,,,,,,,low
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,17.87,13,0.0668,15.5,Neutral,Neutral,3134.4,low,,,,,,,low
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,17.87,13,0.0649,15.5,Neutral,Overbought,3229,low,,,,,,,low
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,17.87,13,0.0649,15.5,Neutral,Overbought,3229,low,,,,,,,low
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,17.87,13,0.0649,15.5,Neutral,Overbought,3229,low,,,,,,,low
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,17.87,13,0.0649,15.5,Neutral,Overbought,3229,low,,,,,,,low
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,17.87,14,0.064,15.5,Neutral,Overbought,3269.5,low,,,,,,,low
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,17.87,14,0.064,15.5,Neutral,Overbought,3269.5,low,,,,,,,low
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,17.87,14,0.064,15.5,Neutral,Overbought,3269.5,low,,,,,,,low
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,17.87,14,0.064,15.5,Neutral,Overbought,3269.5,low,,,,,,,low
BERMAZ AUTO BERHAD,5248, Main Market,Consumer Products & Services ,22.56,10,0.0673,15.75,Neutral,Neutral,2721.6,low,,,,,,,low
BERMAZ AUTO BERHAD,5248, Main Market,Consumer Products & Services ,22.56,10,0.0673,15.75,Neutral,Neutral,2721.6,low,,,,,,,low
BERMAZ AUTO BERHAD,5248, Main Market,Consumer Products & Services ,22.56,10,0.0679,15.75,Neutral,Neutral,2698.4,low,,,,,,,low
BERMAZ AUTO BERHAD,5248, Main Market,Consumer Products & Services ,22.56,10,0.0679,15.75,Neutral,Neutral,2698.4,low,,,,,,,low
BERTAM ALLIANCE BERHAD,9814, Main Market,Property ,-1.88,-15,0,0,Neutral,Neutral,57.9,high,173830216,76524580,97305636,0.440225996,0.786435228,low,medium
BIMB HOLDINGS BERHAD,5258, Main Market,Financial Services ,38.66,11,0.0366,15.5,Neutral,Neutral,7480.6,low,,,,,,,low
BINA DARULAMAN BERHAD,6173, Main Market,Property ,-13.88,-3,0,0,Neutral,Neutral,106.3,high,745010000,286348000,458662000,0.384354572,0.624311585,low,medium
BINA PURI HOLDINGS BHD,5932, Main Market,Construction ,0.14,140,0,0,Neutral,Neutral,72.6,medium,,,,,,,medium
BINASAT COMMUNICATIONS BERHAD,195, Ace Market,Telecommunications & Media ,3.66,11,0.0125,0.5,Neutral,Oversold,104,low,,,,,,,low
BINTULU PORT HOLDINGS BERHAD,5032, Main Market,Transportation & Logistics ,30.88,15,0.0304,14,Neutral,Neutral,2116,low,1058537000,21194000,1037343000,0.020021974,0.020431044,low,low
BIOALPHA HOLDINGS BERHAD,179, Ace Market,Consumer Products & Services ,1.4,15,0.0054,0.11,Neutral,Neutral,176.3,medium,94690897,253562,94437335,0.002677786,0.002684976,low,medium
BLD PLANTATION BHD.,5069, Main Market,Plantation ,-48.98,-14,0.0043,3,Neutral,Neutral,650.8,medium,,,,,,,medium
BONIA CORPORATION BERHAD,9288, Main Market,Consumer Products & Services ,2.01,13,0,0,Neutral,Neutral,209.6,medium,,,,,,,medium
BORNEO OIL BERHAD,7036, Main Market,Industrial Products & Services ,-0.01,-437,0,0,Neutral,Overbought,240.3,high,,,,,,,high
BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,8133, Main Market,Transportation & Logistics ,-43.6,-3,0.0116,1.5,Neutral,Neutral,320.5,high,363472000,145708000,217764000,0.400878197,0.669109678,low,medium
BOUSTEAD HOLDINGS BERHAD,2771, Main Market,Industrial Products & Services ,-23.15,-6,0.037,5,Neutral,Oversold,2736.4,medium,6896900000,3243600000,3653300000,0.47029825,0.887854816,low,medium
BOUSTEAD PLANTATIONS BERHAD,5254, Main Market,Plantation ,-2.31,-35,0.0865,7.05,Neutral,Neutral,1825.6,medium,3295672000,1345478000,1950194000,0.40825604,0.68992008,low,medium
BP PLASTICS HOLDING BHD,5100, Main Market,Industrial Products & Services ,11.23,10,0.0531,6,Neutral,Overbought,212.1,medium,,,,,,,medium
BRAHIM'S HOLDINGS BERHAD,9474, Main Market,Consumer Products & Services ,-43.65,0,0,0,Neutral,Neutral,33.1,high,,,,,,,high
BRITE-TECH BERHAD,11, Ace Market,Trad/Serv ,1.65,18,0.0533,1.6,Overbought,Neutral,75.6,medium,,,,,,,medium
BTM RESOURCES BERHAD,7188, Main Market,Industrial Products & Services ,-1.7,-7,0,0,Neutral,Neutral,17,high,,,,,,,high
BUMI ARMADA BERHAD,5210, Main Market,Energy ,-39.22,0,0,0,Neutral,Oversold,968.7,medium,,,,,,,medium
C.I. HOLDINGS BERHAD,2828, Main Market,Consumer Products & Services ,11.19,13,0.069,10,Neutral,Oversold,234.9,low,,,,,,,low
CAB CAKARAN CORPORATION BERHAD,7174, Main Market,Consumer Products & Services ,3.83,16,0.0079,0.49,Neutral,Neutral,401.3,low,154877184,12493064,142384120,0.080664328,0.087741976,low,low
CABNET HOLDINGS BERHAD,191, Ace Market,Technology ,2.64,12,0,0,Overbought,Overbought,55.4,medium,,,,,,,medium
CAHYA MATA SARAWAK BERHAD,2852, Main Market,Industrial Products & Services ,24.73,13,0,0,Neutral,Overbought,3416.5,low,2774750000,16622821000,1111929000,5.990745473,14.94953455,high,medium
CAM RESOURCES BERHAD,7128, Main Market,Consumer Products & Services ,1.27,20,0,0,Neutral,Neutral,49.2,medium,,,,,,,medium
CAN-ONE BERHAD,5105, Main Market,Industrial Products & Services ,24.24,11,0,0,Neutral,Neutral,530.3,medium,,,,,,,medium
CAREPLUS GROUP BERHAD,163, Ace Market,Health Care ,-0.27,-63,0,0,Neutral,Oversold,90.3,high,,,,,,,high
CB INDUSTRIAL PRODUCT HOLDING BERHAD,7076, Main Market,Industrial Products & Services ,8.61,12,0.019,2,Neutral,Neutral,565.2,low,,,,,,,low
