Date,name,code,Sector_main,sector,price,volume,EMA10,ADX,ATR,MACD,MACDsignal,ClgtEMA10,MACDSIGgtMACD,RSI,EPS,P/E,DY,DPS,Market_Cap (M),debt_ratio,debt-equity_ratio,polarity,risk,target
4/23/2019,AFFIN BANK BERHAD,5185,Main Market,Financial Services ,2.16,502.0,2.181148105017998,17.760465483693647,0.020792451889790748,-0.02592614391979975,-0.027190408193209135,-1,-1,31.129627784365653,25.33,9,0.0216,4.9,4508.3,0.838777818,5.20262042,0.075,medium,1
4/24/2019,AFFIN BANK BERHAD,5185,Main Market,Financial Services ,2.18,1187.0,2.1809393586510892,17.006442145525316,0.022164419611948556,-0.024407676625709307,-0.02663386187970917,-1,-1,40.22526741088312,25.33,9,0.0216,4.9,4508.3,0.838777818,5.20262042,0.0,medium,0
4/25/2019,AFFIN BANK BERHAD,5185,Main Market,Financial Services ,2.18,1983.0,2.180768566169073,16.791585848825218,0.02272410392538082,-0.022939844111812935,-0.02589505832612992,-1,-1,40.22526741088313,25.33,9,0.0216,4.9,4508.3,0.838777818,5.20262042,0.0,medium,1
4/26/2019,AFFIN BANK BERHAD,5185,Main Market,Financial Services ,2.19,90.0,2.182447008683787,16.59207643046084,0.022529525073567903,-0.020730689360334953,-0.024862184532970927,1,-1,44.477428945814665,25.33,9,0.0216,4.9,4508.3,0.838777818,5.20262042,0.0,medium,0
4/11/2019,AHMAD ZAKI RESOURCES BHD,7078,Main Market,Construction ,0.54,54845.0,0.5384699055202142,45.65226097656602,0.025144503211644166,0.0257397319602376,0.027343453782612197,1,1,61.074971153583114,2.45,19,0.0185,0.88,284.0,0.660635529,1.946684418,0.0,medium,1
4/12/2019,AHMAD ZAKI RESOURCES BHD,7078,Main Market,Construction ,0.55,137468.0,0.5405662863347207,46.20097647493399,0.02584846726795529,0.024959888681624798,0.026866740762414718,1,1,63.41445871096067,2.45,19,0.0185,0.88,284.0,0.660635529,1.946684418,0.0,medium,0
4/15/2019,AHMAD ZAKI RESOURCES BHD,7078,Main Market,Construction ,0.515,51888.0,0.5359178706374987,44.712853821513825,0.026859291034529914,0.02127243439004345,0.025747879487940464,-1,1,51.701916560698116,2.45,19,0.0185,0.88,284.0,0.660635529,1.946684418,0.0,medium,0
4/17/2019,AHMAD ZAKI RESOURCES BHD,7078,Main Market,Construction ,0.465,55722.0,0.5230237123397717,41.915665440525075,0.028869341674920633,0.014152378356581785,0.02342877926166873,-1,1,40.26154854485149,2.45,19,0.0185,0.88,284.0,0.660635529,1.946684418,0.0,medium,1
4/19/2019,AHMAD ZAKI RESOURCES BHD,7078,Main Market,Construction ,0.485,57359.0,0.5161103100961769,39.31827622960695,0.02895010298385487,0.010008147807783252,0.020744652970891633,-1,1,45.46020947953841,2.45,19,0.0185,0.88,284.0,0.660635529,1.946684418,0.0,medium,1
4/22/2019,AHMAD ZAKI RESOURCES BHD,7078,Main Market,Construction ,0.545,264545.0,0.5213629809877811,38.15683834410477,0.03223938134215096,0.01143351535151338,0.01888242544701598,1,1,57.42915179356343,2.45,19,0.0185,0.88,284.0,0.660635529,1.946684418,0.0,medium,0
4/23/2019,AHMAD ZAKI RESOURCES BHD,7078,Main Market,Construction ,0.52,69378.0,0.52111516626273,37.07836030756703,0.03243656838914018,0.010425657839034042,0.017191071925419594,-1,1,52.28091051414664,2.45,19,0.0185,0.88,284.0,0.660635529,1.946684418,0.0,medium,0
4/24/2019,AHMAD ZAKI RESOURCES BHD,7078,Main Market,Construction ,0.52,27594.0,0.5209124087604154,36.07691641649627,0.031191099218487308,0.009517214969267829,0.01565630053418924,-1,1,52.280910514146626,2.45,19,0.0185,0.88,284.0,0.660635529,1.946684418,0.0,medium,0
4/25/2019,AHMAD ZAKI RESOURCES BHD,7078,Main Market,Construction ,0.505,29452.0,0.518019243531249,34.711864252116094,0.03039173498859536,0.007500432493305453,0.014025126926012483,-1,1,49.21110924001415,2.45,19,0.0185,0.88,284.0,0.660635529,1.946684418,0.0,medium,0
4/26/2019,AHMAD ZAKI RESOURCES BHD,7078,Main Market,Construction ,0.5,42316.0,0.5147430174346582,33.02144639513376,0.029292325346552833,0.005435996849821434,0.012307300910774272,-1,1,48.19524713576909,2.45,19,0.0185,0.88,284.0,0.660635529,1.946684418,0.0,medium,0
4/11/2019,AIRASIA GROUP BERHAD,5099,Main Market,Consumer Products & Services ,2.47,127005.0,2.6111181199343045,49.713365786191865,0.06976185089042936,-0.07940832607214832,-0.06322350527914564,-1,1,22.792275977568288,60.58,5,0.223,64.0,9591.5,0.032673202,0.033776798,0.0,low,1
4/12/2019,AIRASIA GROUP BERHAD,5099,Main Market,Consumer Products & Services ,2.49,54111.0,2.589096643582613,51.32648055972895,0.06835029011254154,-0.08466202759236419,-0.06751120974178934,-1,1,25.68064880684001,60.58,5,0.223,64.0,9591.5,0.032673202,0.033776798,0.0,low,0
4/15/2019,AIRASIA GROUP BERHAD,5099,Main Market,Consumer Products & Services ,2.46,71778.0,2.5656245265675923,53.013218753416375,0.06846812653307428,-0.0902065284689737,-0.07205027348722622,-1,1,24.217152852901236,60.58,5,0.223,64.0,9591.5,0.032673202,0.033776798,0.0,low,1
4/17/2019,AIRASIA GROUP BERHAD,5099,Main Market,Consumer Products & Services ,2.48,80805.0,2.5500564308280302,54.5794756475547,0.06714897463785467,-0.09192707441538861,-0.0760256336728587,-1,1,27.195907622326853,60.58,5,0.223,64.0,9591.5,0.032673202,0.033776798,0.21807902199999998,low,1
4/19/2019,AIRASIA GROUP BERHAD,5099,Main Market,Consumer Products & Services ,2.5,47274.0,2.54095526158657,56.082052133223094,0.06735261930657933,-0.090632036915681,-0.07894691432142316,-1,1,30.152551793384706,60.58,5,0.223,64.0,9591.5,0.032673202,0.033776798,-0.005954516,low,0
4/22/2019,AIRASIA GROUP BERHAD,5099,Main Market,Consumer Products & Services ,2.47,45653.0,2.5280543049344666,57.47730172705803,0.06682743221325221,-0.09097772506359458,-0.08135307646985744,-1,1,28.296251962308794,60.58,5,0.223,64.0,9591.5,0.032673202,0.033776798,0.0,low,1
4/23/2019,AIRASIA GROUP BERHAD,5099,Main Market,Consumer Products & Services ,2.49,60476.0,2.521135340400927,58.39303920597582,0.0663397584837342,-0.08861633856907014,-0.08280572888969998,-1,1,31.331371837364706,60.58,5,0.223,64.0,9591.5,0.032673202,0.033776798,0.0,low,1
4/24/2019,AIRASIA GROUP BERHAD,5099,Main Market,Consumer Products & Services ,2.52,62969.0,2.520928914873486,57.53801532086889,0.06802977573489603,-0.0833632142378149,-0.08291722595932297,-1,1,35.72621905657369,60.58,5,0.223,64.0,9591.5,0.032673202,0.033776798,0.0,low,1
4/25/2019,AIRASIA GROUP BERHAD,5099,Main Market,Consumer Products & Services ,2.56,45429.0,2.528032748532852,56.74406457041245,0.06602764889668918,-0.07510662720634365,-0.0813551062087271,1,-1,41.13575954010435,60.58,5,0.223,64.0,9591.5,0.032673202,0.033776798,0.0,low,1
4/26/2019,AIRASIA GROUP BERHAD,5099,Main Market,Consumer Products & Services ,2.68,102832.0,2.5556631578905153,53.07113874707469,0.06988281683263996,-0.05820922566081643,-0.07672593009914497,1,-1,53.71997282519102,60.58,5,0.223,64.0,9591.5,0.032673202,0.033776798,0.38515724100000004,low,0
4/11/2019,AIRASIA X BERHAD,5238,Main Market,Consumer Products & Services ,0.23,69787.0,0.23723399642278592,23.81806875234926,0.007122576132930254,-0.006144990015122198,-0.004293901742451401,-1,1,34.237880120500044,-7.54,-3,0.0,0.0,954.1,0.867867645,6.568169061,0.0,high,0
4/12/2019,AIRASIA X BERHAD,5238,Main Market,Consumer Products & Services ,0.23,150299.0,0.23591872434591576,26.41144260638701,0.00732810640914952,-0.006387528662852221,-0.004712627126531565,-1,1,34.23788012050005,-7.54,-3,0.0,0.0,954.1,0.867867645,6.568169061,0.0,high,0
