company,code,ta,tl,te,net_o,net_i,net_f
APM AUTOMOTIVE HOLDINGS BERHAD,5015,582118000,3621000,578497000,50914000,-24743000,-26414000
THRIVEN GLOBAL BERHAD,7889,209179000,40998000,168181000,-6389000,-8427000,10833000
MAH SING GROUP BERHAD,8583,3840015000,109373000,3730642000,138164000,30143000,-93521000
EDEN INC. BERHAD,7471,339647000,117245000,222402000,-10913000,5320000,1626000
LBI CAPITAL BERHAD,8494,152777608,21420048,131357560,1280968,4282649,-10142215
ORIENTAL HOLDINGS BERHAD,4006,10019931000,2583666000,7436265000,650384000,-49955000,2368000
PETERLABS HOLDINGS BERHAD,171,28654659,153069,28501590,-317069,,-2498439
KANGER INTERNATIONAL BERHAD,170,80597942,3669424,76928518,-11305438,24,10959586
SCC HOLDINGS BERHAD,158,29995000,2526000,27469000,-1452000,5892000,-4657000
RIMBUNAN SAWIT BERHAD,5113,900657749,70864925,829792824,-1671082,-924376,-1244187
KAWAN FOOD BHD,7216,187164869,245065,186919804,721545,344632,-8987995
XIDELANG HOLDINGS LTD,5156,941022000,1650000,939372000,-3445000,-115356000,118792000
INTA BINA GROUP BERHAD,192,69872480,414737,69457743,-1127432,-950904,2014849
PBA HOLDINGS BHD,5041,410530000,5973000,404557000,95780000,-81286000,-13242000
SERBA DINAMIK HOLDINGS BERHAD,5279,2199738000,851352000,1348386000,121033000,-930257000,1107942000
EWEIN BERHAD,7249,439251957,202054710,237197247,-38296406,23122777,-4883902
AIRASIA X BERHAD,5238,4341571000,3767909000,573662000,97377000,-9165000,-219407000
UEM SUNRISE BERHAD,5148,8175544000,2935212000,5240332000,-124895000,536160000,-295407000
AHMAD ZAKI RESOURCES BHD,7078,706058000,466447000,239611000,69187000,-102718000,33222000
GAGASAN NADI CERGAS BERHAD,206,99045000,4856000,94189000,-1066000,,1134000
LAMBO GROUP BERHAD,18,72842770,336617,72506153,-1924289,-168263,309466
HOCK HENG STONE INDUSTRIES BHD,5156,40153988,104592,40049396,-70405,159513,-95100
RAPID SYNERGY BHD,7765,226175000,98757000,127418000,5796000,-10958000,2968000
JAKS RESOURCES BHD,4723,850075914,187604830,662471084,4610739,-134324592,169508642
MITRAJAYA HOLDINGS BHD,9571,557806942,60172370,497634572,14164292,-107032536,93839848
ASIA POLY HOLDINGS BERHAD,105,64412907,297141,64115766,-515159,4248268,320695
EVERSENDAI CORPORATION BERHAD,5205,1260940000,282003000,978937000,11992000,-20000,698000
TRC SYNERGY BERHAD,5054,1062180839,648200976,413979863,-17024858,-90210388,84889143
THONG GUAN INDUSTRIES BERHAD,7034,218989000,11991000,206998000,21291000,14278000,-25023000
SOLUTION ENGINEERING HOLDINGS BERHAD,93,48806732,101488,48705244,-4365149,3007810,
HO HUP CONSTRUCTION COMPANY,5169,581412000,284284000,297128000,17333000,-6063000,-16170000
BIO OSMO BHD,7243,21174109,4822488,16351621,-17199,-115505,-1337500
CONNECTCOUNTY HOLDINGS BHD,102,48483065,17789458,30693607,-3371775,61639,496828
AIRASIA GROUP BERHAD,5099,9614148000,314125000,9300023000,-90000,3095455000,-1737827000
SIN HENG CHAN (MALAYA) BHD,4316,103197949,6550546,96647403,-3994014,-1808782,5779563
K. SENG SENG CORPORATION BHD,5192,61045038,12284831,48760207,-1201722,10080174,-10270804
CHUAN HUAT RESOURCES BHD,7016,88484950,149458,88335492,-12834,-1710340,-1855367
TCP PLUS BERHAD,7176,63290772,528156,62762616,-339725,350700,
VIVOCOM INTL HOLDINGS BERHAD,69,448234572,424470252,23764320,-16220062,-4201057,56692506
DEGEM BHD,7119,77358000,467000,76891000,-70000,-1905000,1044000
LYSAGHT GALVANIZED STEEL BHD,9199,108626442,8122089,100504353,-14925979,6769631,-2910600
MULPHA INTERNATIONAL BHD,3905,2389400000,113523000,2275877000,117019000,-149185000,26656000
CNI HOLDINGS BHD,5104,95791602,2446771,93344831,1688070,-623495,-2938414
GABUNGAN AQRS BERHAD,5226,423713416,100242103,323471313,-695572,-66608022,16960592
PINEAPPLE RESOURCES BHD,6,22264809,32800,22232009,60666,,
LAFARGE MALAYSIA BERHAD,3794,2587817000,197537000,2390280000,-60261000,61295000,-577000
EP MANUFACTURING BHD,7773,275260000,49798000,22546200,29000,288000,-123000
MALAYSIA BUILDING SOCIETY BHD,1171,7292054000,244456000,7047598000,-810721000,-6676132000,-126704000
INDUSTRONICS BHD,9393,17741022,9632257,8108765,-358764,1077403,-169124
SARAWAK OIL PALMS BHD,5126,2428755000,356917000,2071838000,71910000,-21576000,-23539000
TAN CHONG MOTOR HOLDINGS BHD,4405,2379895000,1112251000,1267644000,-42522000,62456000,-19581000
CYMAO HOLDINGS BHD,5082,79244389,11969557,67553538,-163256,,157809
PRESS METAL ALUMINIUM HOLDINGS BERHAD,8869,1424335000,31703000,1392632000,-8741000,201813000,-192125000
APPASIA BERHAD,119,37778686,4624125,33154561,-1241950,-11055457,4282251
JIANKUN INTERNATIONAL BERHAD,8923,43405874,5752934,37652940,-193390,8811,
ADVANCE INFORMATION MARKETING,122,16530738,16303617,227121,1293471,-4841087,-450229
TA GLOBAL BHD,5158,4047513000,710169000,3337344000,537765000,110218000,-630473000
KNM GROUP BHD,7164,2115366000,349200000,1766166000,6501000,6899000,-13541000
WOODLANDOR HOLDINGS BHD,7025,31629419,318200,31311219,887930,-1787,-170642
SERSOL BERHAD,55,20997759,49400,20948359,2143237,11482,-2500000
HEVEABOARD BHD,5095,336648000,45952000,290696000,35201000,-781000,-38626000
REV ASIA BERHAD,173,6893998,331050,6562948,2104228,,
PERAK CORPORATION BHD,8346,478234717,255661764,222572953,12133204,301153,-12513694
MALAYSIAN RESOURCES CORPORATION BERHAD,1651,5427569000,718580000,4708989000,227942000,659096000,-891960000
I-BHD,4251,1021075660,240114843,780960817,6275503,21040483,-32668471
HCK CAPITAL GROUP BERHAD,7105,162266000,253000,162013000,45000,,145000
EXCEL FORCE MSC BHD,65,58029268,10728336,47300932,12265953,5574832,-10202232
CUSCAPI BHD,51,85668397,20864860,64803537,-2081739,-52781308,96396013
EURO HOLDINGS BHD,7208,54527000,1493000,53034000,-1911000,-2359000,2313000
MEGA SUN CITY HOLDINGS BERHAD,81,53522531,85797,53436734,-260907,-10752,-3962805
HARN LEN CORPORATION BHD,7501,391971749,165063896,226907853,30775469,-23403208,-8255860
7-ELEVEN MALAYSIA HOLDINGS BERHAD,5250,1466151000,85003000,1381148000,-5463000,35224000,-29980000
BIOALPHA HOLDINGS BERHAD,179,94690897,253562,94437335,534007,-6005,-8286969
TA ENTERPRISE BHD,4898,2273582000,200184000,2073398000,23086000,130805000,-146930000
MUDAJAYA GROUP BHD,5085,407996000,15278000,392718000,-242000,-45000,193000
PIMPINAN EHSAN BERHAD,5622,72803654,232855,72570799,-1104667,188401316,-134793920
HB GLOBAL LIMITED,5187,172816000,39620000,133196000,4696000,-2008000,-2981000
SUMATEC RESOURCES BHD,1201,633076868,301003946,332072922,198523,-1110644,
SARAWAK CABLE BERHAD,5170,571141000,391045000,180096000,31181000,-5089000,-25461000
MUHIBBAH ENGINEERING (M) BHD,5703,1860753000,1341333000,519420000,-236354000,128006000,74238000
DNONCE TECHNOLOGY BHD,7114,77919124,7513585,70405539,-2212755,8410105,2280301
WANG-ZHENG BHD,7203,92861283,216000,92645283,-35826,6686250,-16793852
BCM ALLIANCE BERHAD,187,33921864,523664,33398200,-866884,-2885298,-76937
FAVELLE FAVCO BHD,7229,288742000,32017000,256725000,71265000,-105872000,-2988800
DAGANG NEXCHANGE BERHAD,4456,349486000,32924000,316562000,-8555000,-8242000,18134000
YNH PROPERTY BHD,3158,573488405,13552313,559936092,-649732,,625585
SEG INTERNATIONAL BHD,9792,170940000,56183000,114757000,9086000,42688000,-85313000
SANICHI TECHNOLOGY BHD,133,239691860,9866659,229825201,-1253341,-62066620,70328925
DESTINI BERHAD,7212,432571571,55289782,377281789,-5467967,13833905,-6597719
HEITECH PADU BHD,5028,321730000,229794000,91936000,57194000,-19370000,-34581000
