extracted_code,extracted_date,news
0066,2019-04-18,Vsolar to collaborate with HK firm on manufacturing fast chargers
0068,2019-03-15,"Asdion, Boustead Holdings, Boustead Heavy Industries, Country Heights, Eversendai, Pestech, Selangor Properties and Texchem Resources"
0068,2019-03-19,启昌反弹上挑35仙/敏源
0068,2019-03-18,"Trading ideas: Boustead, Eversendai, Texchem, Asdion, Selangor Properties"
0068,2019-03-18,"KLCI seen starting week on positive note, support at 1,680"
0068,2019-03-17,启昌6650万购Kingdom Infra 间接获取1.5亿特殊合约
0068,2019-03-16,"6650万全购Kingdom Infra
启昌囊1.5亿出口合约"
0068,2019-03-15,启昌以6650万购道北供应基地营运商
0068,2019-03-15,Asdion buys Tumpat supply base operator for RM66.5 mil
0068,2019-02-26,"政府重启彭铝土矿开采
启昌恢复赚头"
0069,2019-02-28,V Development to launch build-then-sell maiden project
0069,2019-03-01,"KLCI pares loss but stays below 1,700 as Tenaga, CIMB drag"
0069,2019-03-01,马股持续走跌
0069,2019-04-18,马币兑新元17个月新低·马股一度跌破1610点
0069,2019-04-18,"Rout continues on Bursa Malaysia, ringgit extends slide"
0069,2019-03-01,国能联昌国际走低 拖累马股跌破1700点
0070,2019-04-23,"Insider Moves: Kuantan Flour Mills Bhd, Gets Global Bhd, MQ Technology Bhd, Zecon Bhd, MyEG Services Bhd"
0070,2019-04-28,"质疑主题公园可行性
微领科技财报遭保留意见"
0070,2019-04-26,MQ Tech auditors highlight theme park business uncertainties
0070,2019-04-25,MQ Tech's auditors highlight uncertainties about its theme park business
0072,2019-03-05,"Insider Moves: EA Technique (M) Bhd, Seacera Group Bhd, Seacera Group Bhd, Trive Property Group Bhd, Utusan Melayu (Malaysia) Bhd, Bahvest Resources Bhd, Hartalega Holdings Bhd"
0075,2019-04-30,LYC to open third mother and child care centre in Bukit Jalil
0078,2019-03-16,快递业者出招抢客 物流业赚幅或续萎缩
0078,2019-02-26,金务大止跌回扬‧马股早盘低迷跌8.19点
0078,2019-03-29,GDEX forms strategic partnership with AirAsia's RedCargo Logistics
0078,2019-03-30,吉运速递与亚航缔结策略伙伴
0078,2019-04-01,"Trading ideas: Tasco, GDEX, Sunway, Vertice, Eco World and Zelan"
0078,2019-02-26,KLCI falls 0.47% as energy-linked stocks retreat
0078,2019-02-26,能源股回落 马股跌0.47%
0078,2019-04-02,RedCargo tie-up seen to incentivise GDEX to expand
0078,2019-02-26,GDex shares jump 21% after on strong 2Q earnings
0078,2019-03-07,快遞加入戰圍　物流業削價競爭壓賺幅
0078,2019-03-08,"SCable, Mitrajaya, Prestar, GDex, Cabnet, MFM, Petra, Dayang, Sasbadi, GPA"
0078,2019-02-27,Stock With Momentum: GD Express Carrier
0078,2019-04-02,吉运速递 国际配送潜能大
0078,2019-04-18,Cover Story: The big picture
0078,2019-04-01,與Red Cargo合作　吉運可從亞航獲益
0078,2019-02-26,"GDEx, HLInd, KKB, Maybulk, Penergy"
0078,2019-03-08,网购带动·新对手涌现·物流公司赚幅续承压
0078,2019-02-27,GD Express Carrier
0078,2019-02-26,"Bursa, key Asian markets shed gains to close in the red"
0078,2019-02-25,GDex 2Q net profit up 62%
0078,2019-02-25,吉运速递次季净利劲扬62%
0078,2019-02-26,"Trading ideas: Maybulk, Tan Chong, SunCon, APM, UEM Edgenta, GDex"
0079,2019-02-26,蓝筹股走低 拖累马股挫0.35%
0079,2019-02-26,KLCI dips 0.35% as select blue chips weigh
0079,2019-03-15,追踪区域股市走势 马股止跌回扬
0079,2019-03-15,"KLCI reverses loss, edges higher in line with region"
0079,2019-02-25,"Initiative, BPN and UM lead industry adex share in Malaysia"
0079,2019-03-18,郭令灿股项下跌 马股最高收市
0079,2019-04-05,Orion IXL to provide fintech solutions for SME Bank's customers
0079,2019-04-07,"胜安偕中小企银行
探讨数字平台合作"
0079,2019-04-08,"Trading ideas: Icon Offshore, Orion IXL"
0079,2019-04-15,Orion IXL to bring fintech solutions to Indonesia market
0079,2019-04-15,Orion IXL to offer Fintech solutions in Indonesian market
0079,2019-04-16,"携手PT Kirana拓展海外
胜安提供印尼中小企金融科技"
0079,2019-04-16,Orion IXL to bring fintech solutions to Indonesia
0079,2019-04-17,"KLCI down 0.3% as Tenaga, Maybank drag"
0079,2019-04-17,国能马银行拖累 马股挫0.3%
0079,2019-04-17,KLCI falls 0.8% on possible downgrade of market accessibility level
0079,2019-04-17,市场准入水平或遭下修 拖累马股挫0.8%
0079,2019-04-30,KLCI ekes out marginal gains as regional markets retreat
0079,2019-04-05,"Berjaya Assets, Boustead, Sime Darby Property, Icon Offshore, Orion IXL, Kian Joo and Can-One"
0079,2019-04-23,"Orion IXL’s Sukaniaga, MyAngkasa Holdings in rent-to-own scheme in KL"
0079,2019-04-19,Orion IXL share price up 5.9%
0079,2019-04-19,进军金融科技受看好·胜安价量齐升
0079,2019-04-18,马股3连跌
0079,2019-04-18,担忧债评遭降 马股继续走低
0079,2019-04-18,KLCI stays in negative zone on worries of potential downgrade
0079,2019-04-18,Quick take: Orion IXL share price up 9% on new coverage
0079,2019-04-18,联昌国际纳入研究 胜安火热扬5.88%
