full name,code,Sector_main,sector,52w_low,52w_high,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap (M),RSI_status,RSI_value,Stochastic_status,Stochastic_value
JKG LAND BERHAD,6769, Main Market,Property ,0.07,0.1,0.45,82,0.09,0,0,0.38,3.37,2,170.60,Neutral,48.1,Oversold,0
JOHAN HOLDINGS BERHAD,3441, Main Market,Financial Services ,0.07,0.265,-99.8,-1,-15.26,0,0,0.56,17,1,53.00,Neutral,46,Neutral,33.3
JOHORE TIN BERHAD,7167, Main Market,Consumer Products & Services ,0.835,1.48,12.33,11,12.58,5,0.0362,1.35,161.41,1,428.40,Neutral,61.9,Neutral,54.5
K.SENG SENG CORPORATION BERHAD,5192, Main Market,Industrial Products & Services ,0.285,0.595,1.13,60,0.94,0,0,0.68,111.03,1,54.20,Overbought,80.8,Overbought,89.7
KAMDAR GROUP (M) BERHAD,8672, Main Market,Consumer Products & Services ,0.28,0.4,-0.78,-33,-0.87,0,0,0.26,60.17,0,57.40,Neutral,41.4,Neutral,40
KANGER INTERNATIONAL BERHAD,170, Ace Market,Consumer Products & Services ,0.035,0.14,-1.34,-23,-0.19,0,0,0.32,6.62,1,40.20,Neutral,50.5,Overbought,100
KAREX BERHAD,5247, Main Market,Consumer Products & Services ,0.375,0.94,1.24,69,0.61,0.5,0.0119,0.86,39.47,1,421.00,Neutral,46.9,Neutral,41.2
KAWAN FOOD BERHAD,7216, Main Market,Consumer Products & Services ,1.62,2.74,7.24,27,6.52,2.5,0.0141,1.97,55.63,3,636.30,Neutral,53,Neutral,65.2
KECK SENG (MALAYSIA) BERHAD,3476, Main Market,Industrial Products & Services ,3.7,5,1.78,42,11.17,4,0.0085,0.75,267.59,2,1706.20,Neutral,56,Oversold,20
KEIN HING INTERNATIONAL BERHAD,7199, Main Market,Industrial Products & Services ,0.47,0.63,2.72,18,2.77,1,0.02,0.49,215.88,0,54.40,Neutral,68,Overbought,96.6
KEIN HING INTERNATIONAL BERHAD,7199, Main Market,Industrial Products & Services ,0.47,0.63,2.72,21,2.77,1,0.0175,0.56,215.88,0,62.10,Neutral,55.8,Neutral,58.6
KEJURUTERAAN ASASTERA BERHAD,193, Ace Market,Industrial Products & Services ,0.185,0.31,17.93,8,2.69,1,0.0465,1.43,43.47,0,68.80,Neutral,47.5,Oversold,16.7
KELINGTON GROUP BERHAD,151, Main Market,Industrial Products & Services ,0.6,1.34,14.58,19,6.48,1,0.008,2.81,122.51,1,356.30,Neutral,53.6,Neutral,30.8
KENANGA INVESTMENT BANK BERHAD,6483, Main Market,Financial Services ,0.545,0.78,1.36,33,1.65,0,0,0.45,96.59,1,397.50,Neutral,37.6,Oversold,12.5
KERJAYA PROSPEK GROUP BERHAD,7161, Main Market,Construction ,0.99,1.76,14.1,11,11.14,1.5,0.0117,1.62,86.05,1,1589.70,Neutral,52.6,Neutral,37.5
KESM INDUSTRIES BERHAD,9334, Main Market,Technology ,7.41,20.06,5.55,18,46.27,18.5,0.0217,1.02,767.78,1,366.10,Neutral,35.9,Neutral,32
KESM INDUSTRIES BERHAD,9334, Main Market,Technology ,7.41,19.5,5.55,19,46.27,18.5,0.0215,1.03,767.78,1,369.90,Neutral,38.5,Neutral,34.5
KEY ALLIANCE GROUP BERHAD,36, Ace Market,Technology ,0.04,0.095,-8.43,-3,-1.23,0,0,0.27,7,1,20.80,Neutral,42.3,Oversold,0
KHEE SAN BERHAD,6203, Main Market,Consumer Products & Services ,0.54,0.68,3.28,15,4.27,0,0,0.49,180.24,0,66.60,Neutral,69.9,Overbought,100
KHIND HOLDINGS BERHAD,7062, Main Market,Consumer Products & Services ,1.4,1.96,1.21,44,3.94,0,0,0.53,870.46,0,69.30,Neutral,53.5,Overbought,100
KIA LIM BERHAD,6211, Main Market,Industrial Products & Services ,0.2,0.4,-10.32,-2,-9.88,0,0,0.23,64.18,0,13.60,Neutral,46,Oversold,14.3
KIAN JOO CAN FACTORY BERHAD,3522, Main Market,Industrial Products & Services ,2,3.06,1.18,79,3.86,0,0,0.93,411.29,1,1359.20,Overbought,82.2,Overbought,100
KIM HIN INDUSTRY BERHAD,5371, Main Market,Industrial Products & Services ,1.09,1.49,-11.99,-3,-38.02,0,0,0.37,258.83,0,183.60,Neutral,40.3,Oversold,12.5
KIM LOONG RESOURCES BERHAD,5027, Main Market,Plantation ,1.13,4.34,7.12,21,5.57,5.97,0.0506,1.51,93.32,1,1103.80,Oversold,28.2,Oversold,0
KIM LOONG RESOURCES BERHAD,5027, Main Market,Plantation ,1.13,1.52,7.12,21,5.57,5.97,0.0506,1.51,93.32,1,1103.80,Oversold,28.2,Oversold,0
KIM TECK CHEONG CONSOLIDATED BERHAD,180, Ace Market,Consumer Products & Services ,0.125,0.205,-3.57,-23,-0.75,0,0,0.81,110.24,0,86.70,Neutral,49.9,Neutral,25
KIMLUN CORPORATION BERHAD,5171, Main Market,Construction ,1,2.2,9.2,7,18.42,5.5,0.0444,0.62,304.91,0,411.50,Neutral,54.7,Neutral,57.1
KINSTEEL BHD,5060, Main Market,Industrial Products & Services ,0.005,0.005,14.32,0,-7.37,0,0,-0.01,13.52,0,5.20,Overbought,100,Neutral,50
KKB ENGINEERING BERHAD,9466, Main Market,Industrial Products & Services ,0.78,1.27,5.9,17,6.84,0,0,1.02,160,1,304.20,Neutral,62.1,Neutral,62.5
KLUANG RUBBER COMPANY (MALAYA) BERHAD,2453, Main Market,Plantation ,3.51,4.55,-1.18,-30,-12.18,1,0.0028,0.35,39.44,9,227.40,Neutral,49.7,Neutral,64.3
KNM GROUP BERHAD,7164, Main Market,Energy ,0.07,0.225,-51.09,0,-32.7,0,0,0.16,60.54,0,248.80,Neutral,54.1,Neutral,66.7
KNUSFORD BERHAD,5035, Main Market,Industrial Products & Services ,0.35,0.81,-13.77,-2,-29.3,0,0,0.22,209.86,0,46.80,Neutral,44.3,Neutral,63.2
KOMARKCORP BERHAD,7017, Main Market,Industrial Products & Services ,0.12,0.29,-39.16,-2,-12.56,0,0,0.87,30.74,1,46.00,Overbought,76.7,Overbought,85
KOMARKCORP BERHAD,7017, Main Market,Industrial Products & Services ,0.12,0.29,-39.16,-2,-12.56,0,0,0.84,30.74,1,44.40,Overbought,72.8,Overbought,80
K-ONE TECHNOLOGY BERHAD,111, Ace Market,Technology ,0.13,0.35,5.93,30,0.77,0,0,1.77,10.12,2,167.70,Neutral,45.1,Oversold,12.5
KONSORTIUM TRANSNASIONAL BERHAD,4847, Main Market,Consumer Products & Services ,0.05,0.16,-79.69,-1,-10.36,0,0,0.5,38.16,0,26.20,Neutral,45.9,Neutral,33.3
KPS CONSORTIUM BERHAD,9121, Main Market,Industrial Products & Services ,0.47,0.7,3.93,7,7.08,0,0,0.28,524.76,0,74.70,Neutral,46.8,Neutral,25
KRETAM HOLDINGS BERHAD,1996, Main Market,Plantation ,0.365,0.855,-0.04,-32,-1.26,0,0,0.01,21.93,2,931.10,Neutral,48.7,Neutral,66.7
KRONOLOGI ASIA BERHAD,176, Ace Market,Technology ,0.43,0.81,10,15,4.1,0,0,1.49,40.89,1,243.30,Neutral,40.7,Oversold,6.3
KSL HOLDINGS BERHAD,5038, Main Market,Property ,0.675,1.04,7.8,4,21.6,0,0,0.33,68.38,1,949.30,Overbought,72.4,Neutral,75
K-STAR SPORTS LIMITED,5172, Main Market,Consumer Products & Services ,0.075,0.15,-144.23,-1,-10.63,0,0,1.15,40.58,0,32.40,Neutral,50.9,Neutral,50
KUANTAN FLOUR MILLS BHD,8303, Main Market,Consumer Products & Services ,0.08,0.225,7.72,-7,-3.01,0,0,-0.55,66.51,0,14.70,Neutral,65.1,Overbought,90.5
KUB MALAYSIA BERHAD,6874, Main Market,Industrial Products & Services ,0.225,0.53,0.37,206,0.21,0,0,0.76,95.21,0,242.10,Neutral,54.7,Neutral,58.3
KUCHAI DEVELOPMENT BERHAD,2186, Main Market,Financial Services ,1.57,2.66,3.37,13,13.02,5,0.0307,0.42,6.26,26,201.70,Neutral,46.6,Neutral,66.7
KUMPULAN FIMA BERHAD,6491, Main Market,Industrial Products & Services ,1.41,1.76,7.55,8,21.14,9,0.0542,0.59,165.24,1,468.50,Neutral,65.8,Overbought,100
KUMPULAN H & L HIGH-TECH BERHAD,7033, Main Market,Industrial Products & Services ,1.11,1.68,2.99,16,7.57,3.5,0.0292,0.47,57.95,2,48.70,Neutral,37.9,Neutral,45
KUMPULAN JETSON BERHAD,9083, Main Market,Industrial Products & Services ,0.165,0.255,-9.94,-4,-4.42,0,0,0.42,90.26,0,39.10,Neutral,48.1,Neutral,60
KUMPULAN PERANGSANG SELANGOR BERHAD,5843, Main Market,Utilities ,1.17,2.06,-17.95,-3,-38.26,0,0,0.61,108.32,1,704.00,Neutral,43.8,Neutral,21.1
KUMPULAN POWERNET BERHAD,7130, Main Market,Consumer Products & Services ,0.33,0.73,-18.2,-7,-5.46,0,0,1.3,6.6,6,29.70,Neutral,44,Neutral,30.8
KWANTAS CORPORATION BERHAD,6572, Main Market,Plantation ,0.8,1.52,-11.23,-2,-42.69,0,0,0.22,213.22,0,258.70,Neutral,40.5,Neutral,27.3
KYM HOLDINGS BERHAD,8362, Main Market,Industrial Products & Services ,0.25,0.52,3.76,14,2.37,0,0,0.51,66.85,0,48.00,Neutral,49.4,Neutral,50
LAFARGE MALAYSIA BERHAD,3794, Main Market,Industrial Products & Services ,1.8,4.92,-12.57,-6,-37.58,0,0,0.75,249.77,1,1911.80,Overbought,71.2,Neutral,56.3
LAMBO GROUP BERHAD,18, Ace Market,Technology ,0.115,0.23,14.49,18,0.8,0,0,2.54,4.4,3,294.30,Neutral,55.6,Neutral,75
LAND & GENERAL BERHAD,3174, Main Market,Property ,0.13,0.205,2.98,14,1.08,1.47,0.098,0.41,3.63,4,446.00,Neutral,47.3,Neutral,33.3
LANDMARKS BERHAD,1643, Main Market,Consumer Products & Services ,0.45,0.775,-2.2,-7,-7.07,0,0,0.15,20.62,2,253.90,Neutral,47.8,Neutral,41.7
LATITUDE TREE HOLDINGS BERHAD,7006, Main Market,Consumer Products & Services ,3,4.16,3.29,21,19.59,9,0.0221,0.69,779.66,1,396.60,Neutral,67.6,Overbought,100
LAY HONG BERHAD,9385, Main Market,Consumer Products & Services ,0.325,0.99,1.88,47,0.92,0.5,0.0116,0.88,123.31,0,283.90,Neutral,48.9,Neutral,30
LB ALUMINIUM BERHAD,9326, Main Market,Industrial Products & Services ,0.44,0.68,3.04,14,3.68,1,0.0194,0.43,218.02,0,128.00,Neutral,55,Neutral,41.2
LB ALUMINIUM BERHAD,9326, Main Market,Industrial Products & Services ,0.44,0.68,3.04,14,3.68,1,0.0196,0.42,218.02,0,126.70,Neutral,53.8,Neutral,35.3
LBI CAPITAL BERHAD,8494, Main Market,Property ,0.63,1.19,2.35,21,3.94,0,0,0.48,19.42,4,66.60,Neutral,65.3,Neutral,64.1
LBS BINA GROUP BERHAD,5789, Main Market,Property ,0.6,1,4.2,12,5.46,0,0,0.52,71.97,1,1052.30,Neutral,46.5,Neutral,37.5
LEADER STEEL HOLDINGS BERHAD,9881, Main Market,Industrial Products & Services ,0.25,0.48,3.4,7,3.81,0,0,0.24,221.84,0,34.60,Neutral,47.8,Oversold,20
LEBTECH BERHAD,9628, Main Market,Construction ,0.75,1.22,-0.55,-164,-0.52,0,0,0.9,24.78,3,116.70,Neutral,39.8,Neutral,40.4
LEE SWEE KIAT GROUP BERHAD,8079, Main Market,Consumer Products & Services ,0.525,1.09,19.09,16,6.11,2.5,0.0263,2.97,59.61,2,159.40,Neutral,52.6,Neutral,40
LEON FUAT BERHAD,5232, Main Market,Industrial Products & Services ,0.4,0.815,7.45,6,8.42,0,0,0.44,192.88,0,155.00,Neutral,51.3,Neutral,42.9
LEWEKO RESOURCES BERHAD,8745, Main Market,Industrial Products & Services ,0.1,0.285,-3.78,-14,-1.02,0,0,0.54,8.78,2,46.70,Neutral,50.1,Neutral,25
LFE CORPORATION BERHAD,7170, Main Market,Industrial Products & Services ,0.085,0.225,-24.39,-2,-4.39,0,0,0.58,2.92,4,19.50,Neutral,51,Neutral,30
LIEN HOE CORPORATION BERHAD,3573, Main Market,Property ,0.27,0.48,-6.96,-3,-9.82,0,0,0.2,9.31,3,101.30,Neutral,45.7,Neutral,66.7
LINGKARAN TRANS KOTA HOLDINGS BERHAD,6645, Main Market,Transportation & Logistics ,3.63,5.9,24.19,10,43.52,25,0.0576,2.41,98.01,4,2291.40,Neutral,47.9,Neutral,46.9
LION FOREST INDUSTRIES BERHAD,8486, Main Market,Industrial Products & Services ,0.405,0.775,1.07,17,2.52,0,0,0.18,167.5,0,99.60,Neutral,49.3,Neutral,21.1
LION INDUSTRIES CORPORATION BERHAD,4235, Main Market,Industrial Products & Services ,0.45,1.3,3.35,6,9,0,0,0.21,486.9,0,402.00,Neutral,53.8,Neutral,68.4
LKL INTERNATIONAL BERHAD,182, Ace Market,Health Care ,0.105,0.19,-2.07,-39,-0.29,0,0,0.82,8.35,1,49.30,Neutral,51,Neutral,50
LONDON BISCUITS BERHAD,7126, Main Market,Consumer Products & Services ,0.395,0.69,4.12,7,6.24,0,0,0.29,143.38,0,111.60,Neutral,32.5,Neutral,21.6
LTKM BERHAD,7085, Main Market,Consumer Products & Services ,0.78,1.4,6.72,10,12.5,2,0.0165,0.65,142.09,1,157.40,Neutral,46.5,Neutral,29.6
LUSTER INDUSTRIES BHD.,5068, Main Market,Industrial Products & Services ,0.075,0.115,8,12,0.64,0,0,1,8.84,1,158.10,Neutral,48.5,Oversold,0
M N C WIRELESS BERHAD,103, Ace Market,Telecommunications & Media ,0.035,0.085,-8.87,-6,-0.7,0,0,0.51,3.47,1,19.10,Neutral,37.6,Neutral,33.3
M3 TECHNOLOGIES (ASIA) BERHAD,17, Ace Market,Telecommunications & Media ,0.04,0.125,-40.78,-2,-2.39,0,0,0.77,5.97,1,26.40,Neutral,42.6,Neutral,33.3
MAA GROUP BERHAD,1198, Main Market,Financial Services ,0.4,1.03,-5.18,-10,-10.04,0,0,0.52,61.73,2,276.30,Overbought,88.9,Overbought,95.9
MAGNA PRIMA BERHAD,7617, Main Market,Property ,0.84,1.25,-10.14,-5,-16.02,0,0,0.56,11.39,8,294.70,Neutral,43.9,Neutral,38.5
MAGNI-TECH INDUSTRIES BERHAD,7087, Main Market,Consumer Products & Services ,3.88,5.52,19.39,8,62.05,23,0.0472,1.52,650.82,1,792.50,Overbought,76.9,Overbought,87.8
MAGNI-TECH INDUSTRIES BERHAD,7087, Main Market,Consumer Products & Services ,3.88,5.52,19.39,8,62.05,23,0.0489,1.47,650.82,1,764.80,Neutral,57.1,Neutral,43.2
MAGNI-TECH INDUSTRIES BERHAD,7087, Main Market,Consumer Products & Services ,3.88,5.52,19.39,7,62.05,23,0.0502,1.43,650.82,1,745.30,Neutral,47.1,Oversold,18.2
MAGNI-TECH INDUSTRIES BERHAD,7087, Main Market,Consumer Products & Services ,3.88,5.52,19.39,7,62.05,23,0.0497,1.45,650.82,1,753.40,Neutral,50.9,Neutral,29.5
MAH SING GROUP BERHAD,8583, Main Market,Property ,0.89,1.32,7.77,8,11.19,0,0,0.66,90.33,1,2294.20,Neutral,44.1,Oversold,15
MAJUPERAK HOLDINGS BERHAD,8141, Main Market,Property ,0.19,0.37,1.7,18,1.19,0,0,0.31,10.04,2,55.30,Neutral,43.4,Oversold,16.7
MALAYAN BANKING BERHAD,1155, Main Market,Financial Services ,8.68,11.08,10.77,13,73.43,25,0.0262,1.4,428.25,2,105303.50,Neutral,50,Neutral,35
MALAYAN FLOUR MILLS BERHAD,3662, Main Market,Consumer Products & Services ,0.465,1.85,2.17,38,1.87,1.73,0.0242,0.83,254.71,0,680.40,Neutral,67.8,Overbought,82.5
MALAYAN UNITED INDUSTRIES BERHAD,3891, Main Market,Consumer Products & Services ,0.145,0.23,-8.37,-12,-1.41,0,0,1.01,13.84,1,498.50,Neutral,41.6,Oversold,20
MALAYSIA AIRPORTS HOLDINGS BERHAD,5014, Main Market,Transportation & Logistics ,7.26,9.98,7.96,18,43.83,5,0.0065,1.41,292.41,3,12858.70,Neutral,35.5,Oversold,8.5
MALAYSIA BUILDING SOCIETY BERHAD,1171, Main Market,Financial Services ,0.89,1.25,8.04,10,10.05,5,0.0503,0.8,49.24,2,6357.20,Neutral,45.6,Oversold,15
MALAYSIA STEEL WORKS (KL) BHD,5098, Main Market,Industrial Products & Services ,0.34,1.01,1.01,32,1.57,0.89,0.018,0.32,350.35,0,211.50,Neutral,59.4,Overbought,90.5
MALAYSIAN BULK CARRIERS BERHAD,5077, Main Market,Transportation & Logistics ,0.41,0.805,67.11,2,26.38,0,0,1.51,23.9,2,595.00,Neutral,45.8,Oversold,4
MALAYSIAN RESOURCES CORPORATION BERHAD,1651, Main Market,Property ,0.55,1.06,2.09,36,2.3,0,0,0.76,42.52,2,3673.90,Neutral,68.3,Overbought,80
MALTON BERHAD,6181, Main Market,Property ,0.39,0.935,1.49,20,2.58,2,0.0392,0.29,163.41,0,269.40,Neutral,50.4,Neutral,33.3
MANAGEPAY SYSTEMS BERHAD,156, Ace Market,Technology ,0.1,0.21,-8.62,-11,-1.12,0,0,0.96,1.82,7,88.80,Neutral,52.3,Neutral,33.3
MANULIFE HOLDINGS BERHAD,1058, Main Market,Financial Services ,2.3,3.07,3.2,20,12.97,0,0,0.64,493.08,1,526.20,Neutral,56.7,Overbought,100
MARINE & GENERAL BERHAD,5078, Main Market,Transportation & Logistics ,0.055,0.195,-32,-1,-5.68,0,0,0.45,23.49,0,57.90,Neutral,56.3,Neutral,66.7
MASTER-PACK GROUP BERHAD,7029, Main Market,Industrial Products & Services ,0.545,0.73,6.31,6,10.54,0,0,0.4,266.54,0,36.90,Neutral,68.2,Neutral,68.8
MB WORLD GROUP BERHAD,7189, Main Market,Property ,1.54,2.08,20.72,5,32.32,10,0.061,1.05,182.37,1,258.10,Neutral,43.4,Oversold,20
MBM RESOURCES BHD,5983, Main Market,Consumer Products & Services ,1.86,2.82,10.48,6,42.35,6,0.023,0.65,493.29,1,1020.20,Neutral,53.2,Neutral,38.2
MCE HOLDINGS BERHAD,7004, Main Market,Industrial Products & Services ,0.435,0.83,-4.39,-7,-8.73,0,0,0.32,141.74,0,28.40,Neutral,57.1,Neutral,61.1
MCE HOLDINGS BERHAD,7004, Main Market,Industrial Products & Services ,0.435,0.83,-4.39,-8,-8.73,0,0,0.36,141.74,1,31.50,Neutral,68.8,Overbought,87.5
MCE HOLDINGS BERHAD,7004, Main Market,Industrial Products & Services ,0.435,0.83,-4.39,-7,-8.73,0,0,0.32,141.74,0,28.00,Neutral,53.1,Neutral,37.5
MCLEAN TECHNOLOGIES BERHAD,167, Ace Market,Industrial Products & Services ,0.09,0.17,-16.13,-4,-2.42,0,0,0.6,38.23,0,16.10,Neutral,35.8,Oversold,0
MCT BERHAD,5182, Main Market,Property ,0.6,0.91,13.43,8,8.12,0,0,1.1,42.48,2,968.90,Neutral,48.7,Overbought,81.3
MEDA INC. BERHAD,5040, Main Market,Property ,0.265,0.5,-19.92,-6,-4.78,0,0,1.25,2.63,11,147.80,Neutral,49.9,Overbought,80
MEDIA CHINESE INTERNATIONAL LIMITED,5090, Main Market,Telecommunications & Media ,0.185,0.505,-5.93,-9,-2.69,1.46,0.0635,0.51,70.76,0,388.10,Neutral,50.3,Neutral,30
MEDIA PRIMA BERHAD,4502, Main Market,Telecommunications & Media ,0.25,0.6,7.26,10,5.29,0,0,0.7,106.9,0,565.70,Overbought,70.8,Overbought,80.8
MEGA FIRST CORPORATION BERHAD,3069, Main Market,Utilities ,2.99,3.99,9.08,12,30.96,2,0.0052,1.12,209.36,2,1599.10,Neutral,55.8,Neutral,47.1
MEGA SUN CITY HOLDINGS BERHAD,81, Ace Market,Industrial Products & Services ,0.135,0.26,1.63,33,0.49,0,0,0.53,3.4,5,35.70,Neutral,33.9,Neutral,33.3
MELEWAR INDUSTRIAL GROUP BERHAD,3778, Main Market,Industrial Products & Services ,0.09,0.225,-3.86,-5,-2.61,0,0,0.19,225.93,0,46.70,Neutral,53.9,Neutral,60
MENANG CORPORATION (M) BERHAD,1694, Main Market,Property ,0.34,0.545,3.73,16,2.39,0,0,0.59,11.41,3,182.70,Neutral,47,Neutral,60
MERCURY INDUSTRIES BERHAD,8192, Main Market,Construction ,0.86,1.54,1.83,26,3.35,0,0,0.47,260.96,0,34.60,Neutral,38.5,Oversold,0
MERGE ENERGY BHD,5006, Main Market,Construction ,0.24,1.5,-18.21,-10,-13.11,0,0,1.82,66.38,2,87.80,Overbought,75.7,Neutral,70.1
MESB BERHAD,7234, Main Market,Consumer Products & Services ,0.185,0.405,-1.18,-25,-1.25,0,0,0.29,194.89,0,25.40,Neutral,62.3,Neutral,61.1
MESINIAGA BERHAD,5011, Main Market,Technology ,0.95,1.93,-7.55,-11,-14.37,0.08,0.0005,0.81,299.46,1,93.60,Neutral,44.9,Oversold,16.7
METROD HOLDINGS BERHAD,6149, Main Market,Industrial Products & Services ,1.54,1.8,2.15,22,7.58,6,0.0353,0.48,2389.58,0,204.00,Neutral,55.2,Neutral,76.2
METRONIC GLOBAL BERHAD,43, Main Market,Industrial Products & Services ,0.02,0.115,-12.42,-3,-2.46,0,0,0.38,7.3,1,24.10,Neutral,32.8,Neutral,22.2
MHC PLANTATIONS BHD,5026, Main Market,Plantation ,0.56,0.845,1.72,28,2.17,0,0,0.48,174.79,0,117.90,Neutral,43.5,Oversold,0
MI TECHNOVATION BERHAD,5286, Main Market,Technology ,1.39,3.37,13.42,26,8.86,5,0.0219,3.45,32.08,7,1140.00,Neutral,39.1,Oversold,1.9
MICROLINK SOLUTIONS BERHAD,126, Ace Market,Technology ,0.335,0.58,-173.79,-1,-31.7,0,0,2.28,110.26,0,69.50,Neutral,34.9,Neutral,33.3
MIECO CHIPBOARD BERHAD,5001, Main Market,Industrial Products & Services ,0.24,0.605,-17.75,-2,-11.54,0,0,0.43,79.97,0,147.00,Neutral,47.6,Neutral,27.3
MIKRO MSC BERHAD,112, Ace Market,Technology ,0.19,0.375,6.33,30,0.87,0.48,0.0185,1.89,10.26,3,112.00,Neutral,61.9,Neutral,70
MILUX CORPORATION BERHAD,7935, Main Market,Consumer Products & Services ,0.6,0.86,-4.88,-18,-3.81,0,0,0.87,142.7,0,37.00,Neutral,47.1,Neutral,47.4
MINDA GLOBAL BERHAD,5166, Main Market,Consumer Products & Services ,0.04,0.215,-7.41,-4,-1.38,0,0,0.27,7.57,1,62.00,Neutral,52.1,Neutral,50
MINETECH RESOURCES BERHAD,7219, Main Market,Industrial Products & Services ,0.045,0.12,-3.33,-18,-0.3,0,0,0.61,14.99,0,50.70,Neutral,54.3,Overbought,100
MINHO (M) BERHAD,5576, Main Market,Industrial Products & Services ,0.25,0.66,3.16,8,3.48,0,0,0.27,78.98,0,100.50,Neutral,50.7,Neutral,40
MINTYE BERHAD,5886, Main Market,Consumer Products & Services ,0.8,1,1.49,29,2.75,0,0,0.43,73.1,1,48.60,Neutral,40.7,Neutral,50
MINTYE BERHAD,5886, Main Market,Consumer Products & Services ,0.8,1,1.49,29,2.75,0,0,0.44,73.1,1,48.90,Neutral,66.4,Overbought,100
MITRAJAYA HOLDINGS BERHAD,9571, Main Market,Construction ,0.225,0.87,5.23,8,4.97,1.54,0.0405,0.4,93.56,0,340.50,Neutral,69.2,Overbought,93.3
MK LAND HOLDINGS BERHAD,8893, Main Market,Property ,0.16,0.28,1.7,11,1.7,0,0,0.19,14.13,1,223.30,Neutral,41.6,Oversold,0
MKH BERHAD,6114, Main Market,Property ,1.11,1.56,4.94,10,13.43,3.47,0.0259,0.49,196.96,1,786.00,Overbought,72.8,Overbought,82.4
MLABS SYSTEMS BERHAD,85, Ace Market,Technology ,0.035,0.07,-3.6,-6,-0.76,0,0,0.21,0.69,7,30.20,Neutral,51.2,Neutral,50
MMAG HOLDINGS BERHAD,34, Ace Market,Technology ,0.16,0.31,-18.66,-7,-3.36,0,0,1.25,8.86,3,153.50,Neutral,45.6,Oversold,14.3
MMC CORPORATION BERHAD,2194, Main Market,Transportation & Logistics ,0.81,1.9,2.3,16,7.23,0,0,0.36,164.54,1,3440.90,Neutral,63.8,Neutral,75
MMS VENTURES BERHAD,113, Main Market,Technology ,0.66,1.72,15.71,22,4.4,1.79,0.0185,3.45,23.48,4,196.60,Neutral,64.8,Overbought,85.3
MNRB HOLDINGS BERHAD,6459, Main Market,Financial Services ,0.845,2.64,5.9,12,8.46,0,0,0.7,300.98,0,774.70,Neutral,40.3,Oversold,12.5
MPHB CAPITAL BERHAD,5237, Main Market,Financial Services ,1.01,1.41,0.92,62,1.74,0,0,0.57,64.73,2,772.20,Neutral,49.5,Neutral,38.9
MQ TECHNOLOGY BERHAD,70, Ace Market,Technology ,0.025,0.07,-11,-3,-0.88,0,0,0.31,4.12,1,14.90,Neutral,32,Oversold,0
MTD ACPI ENGINEERING BERHAD,5924, Main Market,Construction ,0.115,0.26,-4.86,-8,-2.04,0,0,0.38,106.66,0,37.10,Neutral,53.4,Neutral,57.1
MTOUCHE TECHNOLOGY BERHAD,92, Ace Market,Telecommunications & Media ,0.055,0.165,0.24,157,0.04,0,0,0.36,4.04,1,30.50,Neutral,41.6,Neutral,33.3
MUAR BAN LEE GROUP BERHAD,5152, Main Market,Industrial Products & Services ,0.905,1.25,10.17,9,12.61,3,0.027,0.9,152.93,1,114.30,Neutral,60,Overbought,90.9
MUDA HOLDINGS BERHAD,3883, Main Market,Industrial Products & Services ,1.5,2.95,7.59,7,25.42,0,0,0.56,506.23,0,570.40,Neutral,41.1,Oversold,8.1
MUDAJAYA GROUP BERHAD,5085, Main Market,Construction ,0.265,0.795,-145.44,0,-65.45,0,0,0.68,125.97,0,184.70,Neutral,46.7,Neutral,35.3
MUHIBBAH ENGINEERING (M) BHD,5703, Main Market,Construction ,2.51,3.2,12.85,10,29.94,0,0,1.27,324.63,1,1426.60,Neutral,51.7,Neutral,70.8
MULPHA INTERNATIONAL BERHAD,3905, Main Market,Consumer Products & Services ,1.262,2.65,7.24,3,73.74,0,0,0.25,245.58,1,805.40,Overbought,80.5,Overbought,82.7
MULTI-USAGE HOLDINGS BERHAD,9539, Main Market,Property ,0.39,0.6,-5.99,-7,-7.01,0,0,0.41,20.12,2,27.10,Neutral,55.3,Overbought,100
MY E.G. SERVICES BERHAD,138, Main Market,Technology ,0.655,3.03,12.92,57,2.1,0,0,7.32,13.13,9,4291.50,Neutral,68.6,Neutral,66.7
MYCRON STEEL BERHAD,5087, Main Market,Industrial Products & Services ,0.225,0.53,0.7,35,0.84,0,0,0.24,244.47,0,94.80,Neutral,57.3,Overbought,100
MYNEWS HOLDINGS BERHAD,5275, Main Market,Consumer Products & Services ,1.26,1.72,9.9,33,4.16,1,0.0072,3.31,62.29,2,948.20,Neutral,53.7,Neutral,71.4
MYNEWS HOLDINGS BERHAD,5275, Main Market,Consumer Products & Services ,1.26,1.72,9.9,32,4.16,1,0.0075,3.19,62.29,2,914.10,Neutral,44.5,Oversold,14.3
MYNEWS HOLDINGS BERHAD,5275, Main Market,Consumer Products & Services ,1.26,1.72,9.9,33,4.16,1,0.0073,3.26,62.29,2,934.60,Neutral,51.2,Neutral,57.1
N2N CONNECT BERHAD,108, Ace Market,Technology ,0.67,1.37,5.18,42,2.19,0.89,0.0097,2.16,18.07,5,547.10,Neutral,43.5,Neutral,43.8
NAIM HOLDINGS BERHAD,5073, Main Market,Property ,0.43,1.07,5.8,8,12.59,0,0,0.44,113.26,1,485.50,Overbought,71.5,Neutral,72.9
