full name,code,Sector_main,sector,52w_low,52w_high,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap (M),RSI_status,RSI_value,Stochastic_status,Stochastic_value
AYER HOLDINGS BERHAD,2305, Main Market,Property ,4.2,6.59,3.93,17,26.92,5,0.0111,0.66,108.01,4,336.80,Neutral,41.8,Neutral,37
AYS VENTURES BERHAD,5021, Main Market,Industrial Products & Services ,0.32,0.435,6.78,7,4.88,1,0.0286,0.49,155.28,0,133.10,Neutral,49.9,Neutral,37.5
B.I.G. INDUSTRIES BERHAD,7005, Main Market,Industrial Products & Services ,0.26,0.5,2.03,32,1.4,0,0,0.65,97.39,0,21.60,Neutral,63.1,Neutral,70.6
BAHVEST RESOURCES BERHAD,98, Ace Market,Consumer Products & Services ,0.325,1.45,18.31,6,10.63,0,0,1.15,5.57,12,406.10,Overbought,74,Overbought,94.6
BARAKAH OFFSHORE PETROLEUM BERHAD,7251, Main Market,Energy ,0.04,0.29,-44.88,-1,-7.37,0,0,0.67,29.1,0,91.90,Neutral,54.8,Neutral,60
BCM ALLIANCE BERHAD,187, Ace Market,Industrial Products & Services ,0.14,0.25,18,10,1.98,0,0,1.77,21.97,1,82.10,Neutral,44,Oversold,0
BERJAYA ASSETS BERHAD,3239, Main Market,Property ,0.245,0.6,-0.65,-53,-0.59,0,0,0.34,10.87,3,793.00,Neutral,54.3,Neutral,75
BERJAYA CORPORATION BERHAD,3395, Main Market,Industrial Products & Services ,0.245,0.395,-2.9,-7,-3.72,0,0,0.21,158.3,0,1408.00,Neutral,46.8,Neutral,71.4
BERJAYA FOOD BERHAD,5196, Main Market,Consumer Products & Services ,1.28,1.84,5.81,27,6.05,4,0.0248,1.55,175.05,1,614.80,Neutral,69.9,Neutral,78.1
BERJAYA FOOD BERHAD,5196, Main Market,Consumer Products & Services ,1.28,1.84,5.81,26,6.05,4,0.0252,1.53,175.05,1,607.20,Neutral,68.3,Neutral,77.8
BERJAYA LAND BERHAD,4219, Main Market,Consumer Products & Services ,0.18,0.365,-2.22,-14,-1.82,0,0,0.32,123.72,0,1300.10,Neutral,40.2,Oversold,14.3
BERJAYA LAND BERHAD,4219, Main Market,Consumer Products & Services ,0.18,0.365,-2.22,-14,-1.82,0,0,0.3,123.72,0,1250.10,Neutral,34.3,Oversold,11.1
BERJAYA MEDIA BERHAD,6025, Main Market,Telecommunications & Media ,0.12,0.375,-410.5,-2,-8.21,0,0,10,11.63,2,47.00,Neutral,49.7,Neutral,52.4
BERJAYA MEDIA BERHAD,6025, Main Market,Telecommunications & Media ,0.12,0.375,-410.5,-2,-8.21,0,0,7.5,11.63,1,35.30,Neutral,43.2,Oversold,12.5
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,2.01,2.62,30.29,13,17.87,15.5,0.0665,3.95,415.66,1,3147.90,Neutral,51.7,Neutral,38.9
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,2.01,2.62,30.29,13,17.87,15.5,0.0668,3.93,415.65,1,3134.40,Neutral,50.1,Neutral,42.9
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,2.01,2.62,30.29,13,17.87,15.5,0.0649,4.05,415.65,1,3229.00,Neutral,59.8,Overbought,92.9
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,2.01,2.62,30.29,14,17.87,15.5,0.064,4.1,415.65,1,3269.50,Neutral,64,Overbought,88.9
BERMAZ AUTO BERHAD,5248, Main Market,Consumer Products & Services ,1.8,2.47,47.1,10,22.56,15.75,0.0673,4.89,217.05,1,2721.60,Neutral,69.1,Neutral,67.6
BERMAZ AUTO BERHAD,5248, Main Market,Consumer Products & Services ,1.8,2.47,47.1,10,22.56,15.75,0.0679,4.84,217.05,1,2698.40,Neutral,63.1,Neutral,58.1
BERTAM ALLIANCE BERHAD,9814, Main Market,Property ,0.18,0.42,-1.92,-15,-1.88,0,0,0.29,0.4,71,57.90,Neutral,55.9,Neutral,75
BIMB HOLDINGS BERHAD,5258, Main Market,Financial Services ,3.4,4.36,13.02,11,38.66,15.5,0.0366,1.43,238.2,2,7480.60,Neutral,61.2,Neutral,33.3
BINA DARULAMAN BERHAD,6173, Main Market,Property ,0.285,0.63,-9.19,-3,-13.88,0,0,0.23,66.94,1,106.30,Neutral,52.7,Neutral,30.8
BINA PURI HOLDINGS BHD,5932, Main Market,Construction ,0.165,0.385,0.21,140,0.14,0,0,0.28,185.81,0,72.60,Neutral,45.5,Neutral,33.3
BINASAT COMMUNICATIONS BERHAD,195, Ace Market,Telecommunications & Media ,0.355,0.525,13.07,11,3.66,0.5,0.0125,1.43,24.12,2,104.00,Neutral,48.2,Oversold,14.3
BINTULU PORT HOLDINGS BERHAD,5032, Main Market,Transportation & Logistics ,4.4,6,11.15,15,30.88,14,0.0304,1.66,149.16,3,2116.00,Neutral,55,Neutral,66.7
BIOALPHA HOLDINGS BERHAD,179, Ace Market,Consumer Products & Services ,0.19,0.275,7.6,15,1.4,0.11,0.0054,1.11,8.08,3,176.30,Neutral,48.5,Neutral,50
BLD PLANTATION BHD.,5069, Main Market,Plantation ,6.7,8.2,-8.1,-14,-48.98,3,0.0043,1.15,1876.1,0,650.80,Neutral,46.3,Neutral,30
BONIA CORPORATION BERHAD,9288, Main Market,Consumer Products & Services ,0.205,0.515,4.37,13,2.01,0,0,0.57,55.35,0,209.60,Neutral,57.6,Neutral,75
BORNEO OIL BERHAD,7036, Main Market,Industrial Products & Services ,0.04,0.09,-0.06,-437,-0.01,0,0,0.29,1.72,3,240.30,Neutral,52.6,Overbought,100
BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,8133, Main Market,Transportation & Logistics ,1.2,1.96,-46.38,-3,-43.6,1.5,0.0116,1.37,68.07,2,320.50,Neutral,47.8,Neutral,71.4
BOUSTEAD HOLDINGS BERHAD,2771, Main Market,Industrial Products & Services ,1.32,2.72,-8.74,-6,-23.15,5,0.037,0.51,502.54,0,2736.40,Neutral,33.9,Oversold,12.5
BOUSTEAD PLANTATIONS BERHAD,5254, Main Market,Plantation ,0.655,1.75,-1.93,-35,-2.31,7.05,0.0865,0.68,26.07,3,1825.60,Neutral,37,Neutral,26
BP PLASTICS HOLDING BHD,5100, Main Market,Industrial Products & Services ,0.85,1.17,11.7,10,11.23,6,0.0531,1.18,177.84,1,212.10,Neutral,67.2,Overbought,91.7
BRAHIM'S HOLDINGS BERHAD,9474, Main Market,Consumer Products & Services ,0.055,0.505,2182.5,0,-43.65,0,0,-7,115.98,0,33.10,Neutral,37.3,Neutral,44.7
BRITE-TECH BERHAD,11, Ace Market,Trad/Serv ,0.21,0.345,7.17,18,1.65,1.6,0.0533,1.3,10.56,3,75.60,Overbought,71.1,Neutral,78.6
BTM RESOURCES BERHAD,7188, Main Market,Industrial Products & Services ,0.07,0.19,-8.5,-7,-1.7,0,0,0.6,11.05,1,17.00,Neutral,51.5,Neutral,54.5
BUMI ARMADA BERHAD,5210, Main Market,Energy ,0.145,0.95,-68.81,0,-39.22,0,0,0.29,41.2,0,968.70,Neutral,36.1,Oversold,18.8
C.I. HOLDINGS BERHAD,2828, Main Market,Consumer Products & Services ,1.45,2.18,8.88,13,11.19,10,0.069,1.15,1515.74,0,234.90,Neutral,40.2,Oversold,0
CAB CAKARAN CORPORATION BERHAD,7174, Main Market,Consumer Products & Services ,0.495,1.02,5.39,16,3.83,0.49,0.0079,0.87,274.37,0,401.30,Neutral,53.9,Neutral,25
CABNET HOLDINGS BERHAD,191, Ace Market,Technology ,0.2,0.65,11.54,12,2.64,0,0,1.35,26.4,1,55.40,Overbought,75.8,Overbought,85
CAHYA MATA SARAWAK BERHAD,2852, Main Market,Industrial Products & Services ,1.74,4.4,10.39,13,24.73,0,0,1.34,159.34,2,3416.50,Neutral,66.3,Overbought,84.6
CAM RESOURCES BERHAD,7128, Main Market,Consumer Products & Services ,0.22,0.355,2.19,20,1.27,0,0,0.43,107.37,0,49.20,Neutral,51.1,Neutral,33.3
CAN-ONE BERHAD,5105, Main Market,Industrial Products & Services ,1.83,2.88,5.61,11,24.24,0,0,0.64,638.67,0,530.30,Neutral,59.2,Neutral,63.6
CAREPLUS GROUP BERHAD,163, Ace Market,Health Care ,0.17,0.27,-1.41,-63,-0.27,0,0,0.89,63.74,0,90.30,Neutral,31.6,Oversold,0
CB INDUSTRIAL PRODUCT HOLDING BERHAD,7076, Main Market,Industrial Products & Services ,0.96,1.6,5.98,12,8.61,2,0.019,0.73,89.39,1,565.20,Neutral,46.1,Neutral,30.8
CCK CONSOLIDATED HOLDINGS BERHAD,7035, Main Market,Consumer Products & Services ,0.365,2.05,10.52,15,4.42,0,0,1.54,98.8,1,406.80,Neutral,63,Neutral,60.9
CENSOF HOLDINGS BERHAD,5195, Main Market,Technology ,0.12,0.235,-8.21,-7,-2.15,0,0,0.57,15.82,1,75.30,Neutral,50.2,Neutral,40
CENTRAL INDUSTRIAL CORPORATION BERHAD,8052, Main Market,Industrial Products & Services ,0.42,1.45,-6.91,-15,-4.01,0,0,1.02,92.86,1,53.10,Neutral,56.2,Overbought,100
CEPATWAWASAN GROUP BERHAD,8982, Main Market,Plantation ,0.53,0.79,1.46,37,1.63,1.5,0.025,0.54,75.59,1,191.10,Neutral,48.8,Oversold,18.2
CHEETAH HOLDINGS BERHAD,7209, Main Market,Consumer Products & Services ,0.29,0.495,0.45,71,0.49,0.4,0.0114,0.32,90.12,0,44.70,Neutral,52.2,Neutral,75
CHIN WELL HOLDINGS BERHAD,5007, Main Market,Industrial Products & Services ,1.49,2,10.4,9,20.08,8.6,0.0478,0.93,211.76,1,539.20,Neutral,58,Neutral,44.4
CHINA OUHUA WINERY HOLDINGS LIMITED,5188, Main Market,Consumer Products & Services ,0.035,0.105,-8.58,-3,-1.63,0,0,0.29,1.32,4,36.70,Neutral,56.1,Neutral,66.7
CHOO BEE METAL INDUSTRIES BHD,5797, Main Market,Industrial Products & Services ,1.41,2.59,6.38,6,24.57,4.96,0.0312,0.41,379.87,0,209.40,Neutral,45.8,Neutral,25
CHOO BEE METAL INDUSTRIES BHD,5797, Main Market,Industrial Products & Services ,1.41,2.51,6.38,6,24.58,4.96,0.0318,0.41,379.87,0,205.40,Neutral,47.4,Neutral,55.6
CHOO BEE METAL INDUSTRIES BHD,5797, Main Market,Industrial Products & Services ,1.41,2.48,6.38,6,24.58,4.96,0.0314,0.41,379.87,0,208.10,Neutral,43.1,Neutral,25
